(0.003, 300, 0.3, 2, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 1000, 0.75, 5, 5, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.0003, 500, 0.5, 5, 5, 300): {'acc': 0.93170731707317078, 'rec': 0.93333333333333335, 'prec': 0.91304347826086951, 'f1': 0.92307692307692313}
(0.01, 300, 0.75, 2, 5, 300): {'acc': 0.98536585365853657, 'rec': 0.98888888888888893, 'prec': 0.97802197802197799, 'f1': 0.98342541436464082}
(0.001, 300, 0.75, 3, 20, 300): {'acc': 0.98048780487804876, 'rec': 0.97777777777777775, 'prec': 0.97777777777777775, 'f1': 0.97777777777777775}
(0.001, 500, 0.5, 2, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 300, 0.5, 2, 50, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.003, 300, 0.75, 2, 5, 300): {'acc': 0.96585365853658534, 'rec': 0.96666666666666667, 'prec': 0.95604395604395609, 'f1': 0.96132596685082872}
(0.0003, 300, 0.5, 3, 50, 300): {'acc': 0.99512195121951219, 'rec': 0.98888888888888893, 'prec': 1.0, 'f1': 0.99441340782122911}
(0.0001, 1000, 0.75, 7, 10, 300): {'acc': 0.86829268292682926, 'rec': 0.85555555555555551, 'prec': 0.84615384615384615, 'f1': 0.850828729281768}
(0.0001, 500, 0.75, 3, 20, 300): {'acc': 0.81951219512195117, 'rec': 0.82222222222222219, 'prec': 0.77894736842105261, 'f1': 0.79999999999999993}
(0.0001, 500, 0.3, 5, 10, 300): {'acc': 0.91707317073170735, 'rec': 0.8666666666666667, 'prec': 0.93975903614457834, 'f1': 0.90173410404624277}
(0.003, 300, 0.3, 2, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 800, 0.75, 2, 5, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.0003, 500, 0.75, 5, 5, 300): {'acc': 0.81951219512195117, 'rec': 0.73333333333333328, 'prec': 0.83544303797468356, 'f1': 0.78106508875739633}
(0.01, 500, 0.75, 7, 5, 300): {'acc': 0.98536585365853657, 'rec': 0.98888888888888893, 'prec': 0.97802197802197799, 'f1': 0.98342541436464082}
(0.0003, 300, 0.3, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 1000, 0.75, 5, 5, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.0003, 1000, 0.5, 7, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 800, 0.3, 5, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 800, 0.5, 2, 50, 300): {'acc': 0.98536585365853657, 'rec': 0.98888888888888893, 'prec': 0.97802197802197799, 'f1': 0.98342541436464082}
(0.001, 500, 0.75, 2, 50, 300): {'acc': 0.99512195121951219, 'rec': 0.98888888888888893, 'prec': 1.0, 'f1': 0.99441340782122911}
(0.0003, 800, 0.3, 2, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 500, 0.3, 2, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 1000, 0.75, 2, 5, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.01, 1000, 0.3, 3, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 800, 0.3, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 500, 0.5, 5, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 1000, 0.5, 7, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 300, 0.75, 2, 50, 300): {'acc': 0.91707317073170735, 'rec': 0.94444444444444442, 'prec': 0.87628865979381443, 'f1': 0.90909090909090906}
(0.001, 1000, 0.3, 5, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 800, 0.5, 5, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
