0.0003: {'acc': 0.57073170731707312, 'rec': 0.022222222222222223, 'prec': 1.0, 'f1': 0.043478260869565223}
1e-06: {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
1e-05: {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
3e-06: {'acc': 0.45853658536585368, 'rec': 0.93333333333333335, 'prec': 0.44444444444444442, 'f1': 0.60215053763440862}
0.1: {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
0.3: {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
1e-07: {'acc': 0.48780487804878048, 'rec': 0.9555555555555556, 'prec': 0.45989304812834225, 'f1': 0.62093862815884482}
0.001: {'acc': 0.92682926829268297, 'rec': 0.98888888888888893, 'prec': 0.86407766990291257, 'f1': 0.92227979274611382}
0.0001: {'acc': 0.65853658536585369, 'rec': 0.41111111111111109, 'prec': 0.68518518518518523, 'f1': 0.51388888888888895}
0.03: {'acc': 0.99512195121951219, 'rec': 1.0, 'prec': 0.98901098901098905, 'f1': 0.99447513812154698}
3e-07: {'acc': 0.47804878048780486, 'rec': 0.31111111111111112, 'prec': 0.38356164383561642, 'f1': 0.34355828220858897}
0.003: {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
3e-05: {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
0.01: {'acc': 0.96585365853658534, 'rec': 1.0, 'prec': 0.92783505154639179, 'f1': 0.96256684491978617}
